result_position,bridge_signature,rule_id,edge_count
709,Al-O-Si,T-O-T,96
710,Al-O-Si,T-O-T,96
711,Al-O-Si,T-O-T,96
712,Al-O-Si,T-O-T,96
713,Al-O-Si,T-O-T,96
714,Al-O-Si,T-O-T,96
715,Al-O-Si,T-O-T,96
716,Al-O-Si,T-O-T,96
717,Al-O-Si,T-O-T,96
718,Al-O-Si,T-O-T,96
719,Al-O-Si,T-O-T,96
720,Al-O-Si,T-O-T,96
721,Al-O-Si,T-O-T,96
722,Al-O-Si,T-O-T,96
723,Al-O-Si,T-O-T,96
724,Al-O-Si,T-O-T,96
725,Al-O-Si,T-O-T,96
726,Al-O-Si,T-O-T,96
727,Al-O-Si,T-O-T,96
728,Al-O-Si,T-O-T,96
729,Al-O-Si,T-O-T,96
730,Al-O-Si,T-O-T,96
731,Al-O-Si,T-O-T,96
732,Al-O-Si,T-O-T,96
733,Al-O-Si,T-O-T,96
734,Al-O-Si,T-O-T,96
735,Al-O-Si,T-O-T,96
736,Al-O-Si,T-O-T,96
737,Al-O-Si,T-O-T,96
738,Al-O-Si,T-O-T,96
739,Al-O-Si,T-O-T,96
740,Al-O-Si,T-O-T,96
741,Al-O-Si,T-O-T,96
742,Al-O-Si,T-O-T,96
743,Al-O-Si,T-O-T,96
744,Al-O-Si,T-O-T,96
745,Al-O-Si,T-O-T,96
746,Al-O-Si,T-O-T,96
747,Al-O-Si,T-O-T,96
748,Al-O-Si,T-O-T,96
749,Al-O-Si,T-O-T,96
750,Al-O-Si,T-O-T,96
751,Al-O-Si,T-O-T,96
752,Al-O-Si,T-O-T,96
753,Al-O-Si,T-O-T,96
754,Al-O-Si,T-O-T,96
755,Al-O-Si,T-O-T,96
756,Al-O-Si,T-O-T,96
757,Al-O-Si,T-O-T,96
758,Al-O-Si,T-O-T,96
759,Al-O-Si,T-O-T,96
760,Al-O-Si,T-O-T,96
761,Al-O-Si,T-O-T,96
762,Al-O-Si,T-O-T,96
763,Al-O-Si,T-O-T,96
764,Al-O-Si,T-O-T,96
765,Al-O-Si,T-O-T,96
766,Al-O-Si,T-O-T,96
